"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
54781,5,240,2,1,2,1,6,2,7,6,7,3,4,6,7,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,53,1,NA,4,610,17,1,NA,NA,1,NA,1,2,2,NA,5,3,40,1,50,1,4,8341,2,2,NA,NA,3,"Southern",1577,315
54800,5,120,4,2,NA,2,NA,NA,8,9,8,6,8,8,6,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,34,NA,6,1,313,12,1,NA,NA,1,NA,1,1,2,NA,5,2,40,1,45,46,4,4321,2,2,NA,NA,3,"North",989,989
54808,5,60,2,1,1,1,1,3,8,7,7,4,9,8,6,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,52,3,4,2,323,12,1,NA,NA,1,NA,1,3,2,NA,7,2,40,1,40,28,4,8122,2,2,NA,NA,2,"Southern",1640,820
54814,5,120,3,1,NA,2,NA,NA,6,7,5,6,5,5,6,7,2,2,NA,2,NA,5,1,"6666",1,"6666","RUS","000",1,25,NA,6,1,620,16,1,NA,NA,1,NA,1,4,1,6,8,2,40,1,40,62,4,2521,1,2,NA,NA,3,"North",1687,1687
54839,5,30,3,2,NA,2,NA,NA,5,6,4,3,6,6,4,7,2,2,NA,2,NA,0,1,"6666",1,"6666","RUS","000",1,60,1,NA,3,313,10,1,NA,NA,1,NA,1,2,2,NA,3,5,40,1,40,29,4,7223,2,2,NA,NA,2,"Southern",3853.45828156443,1284
54869,5,240,3,3,NA,2,NA,NA,5,8,7,5,6,8,6,7,2,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,17,NA,6,4,213,10,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"North",1732,0
54878,5,360,3,3,NA,NA,NA,NA,3,8,4,6,8,3,7,8,3,2,NA,2,NA,6,1,"6666",1,"6666","RUS","000",2,17,NA,6,1,213,11,2,NA,NA,1,NA,1,2,2,NA,10,0,20,1,20,56,4,5131,2,2,NA,NA,3,"North",2043,0
54911,5,180,3,1,2,1,4,1,9,7,3,7,8,9,5,10,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,71,1,NA,5,423,13,6,NA,2016,1,NA,2,3,2,NA,9,1,20,1,24,86,1,5321,2,2,NA,NA,3,"Central",884,442
54940,1,NA,3,3,NA,2,NA,NA,4,6,5,5,2,4,2,5,3,1,3,NA,NA,6,2,"6500",2,"RU","RUS","000",1,73,NA,1,1,423,12,1,NA,NA,1,NA,1,4,2,NA,7,0,20,1,20,80,4,5414,2,1,1,2,2,"North",873,873
54950,1,NA,3,1,NA,2,NA,NA,NA,8,7,4,2,10,10,8,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,87,NA,5,4,213,7,6,NA,1991,1,NA,2,2,2,NA,5,5,40,1,40,85,1,9112,2,2,NA,NA,2,"Western",394,394
54955,5,60,4,2,NA,2,NA,NA,4,8,5,4,5,5,5,8,2,2,NA,2,NA,8,1,"6666",1,"6666","EST","RUS",2,39,3,6,4,323,11,1,NA,NA,1,NA,1,3,2,NA,8,6,40,1,40,10,4,7512,2,2,NA,NA,3,"Southern",1832,458
54993,5,300,2,1,2,1,6,2,5,5,4,4,3,7,3,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","888",2,75,3,4,4,720,16,6,NA,NA,2,1,NA,1,2,NA,10,10,20,1,2,69,5,2411,2,2,NA,NA,2,"Central",867,289
55029,5,240,4,1,2,2,NA,NA,5,7,7,4,5,3,7,4,2,2,NA,2,NA,4,1,"6666",1,"6666","RUS","000",1,22,NA,6,4,423,14,1,NA,NA,1,NA,1,3,2,NA,7,1,40,1,40,26,4,8212,2,2,NA,NA,3,"North",1767,353
55100,5,120,3,1,2,1,2,3,5,8,0,3,5,7,2,8,3,1,3,NA,NA,8,1,"6666",1,"6666","RUS","000",1,71,1,NA,3,610,16,6,NA,2011,1,NA,1,3,2,NA,10,0,40,1,45,25,4,2144,2,1,2,2,2,"Southern",965,322
